County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Graham County,Morlan township,184,112,113,68,64,51
Graham County,Nicodemus township,100,81,66,52,59,43
Graham County,Pioneer township,106,67,45,57,34,16
Graham County,Solomon township,386,317,293,209,193,145
Graham County,Wildhorse township,392,306,305,252,210,229
Grant County,Lincoln township,4769,5832,6226,7058,7102,6644
Grant County,Sherman township,561,536,534,498,465,437
Grant County,Sullivan township,631,609,399,353,262,271
Gray County,Cimarron township,1617,1937,2125,2379,2647,2418
Gray County,Copeland township,517,574,536,540,552,502
Gray County,East Hess township,422,396,373,372,360,335
Gray County,Foote township,160,152,124,126,99,131
Gray County,Ingalls township,480,595,611,646,609,564
Gray County,Logan township,205,197,196,216,207,163
Gray County,Montezuma township,922,1287,1431,1625,1532,1540
Gray County,West Hess Township,193,,,,,
Greeley County,Colony township,220,235,203,172,,
Greeley County,Harrison township,144,185,134,107,,
Greeley County,Tribune township,1455,1425,1437,1255,1247,1284
Greenwood County,Bachelor township,236,195,236,230,193,164
Greenwood County,Eureka city,3576,3425,2974,2914,2633,2332
Greenwood County,Eureka township,322,369,481,451,395,355
Greenwood County,Fall River township,249,239,214,229,206,203
Greenwood County,Janesville township,693,665,600,548,469,333
Greenwood County,Lane township,267,238,153,167,113,75
Greenwood County,Madison township,1447,1431,1222,1155,983,1007
Greenwood County,Otter Creek township,300,238,184,211,209,165
Greenwood County,Pleasant Grove township,101,66,51,52,48,64
Greenwood County,Quincy township,222,195,177,163,145,164
Greenwood County,Salem township,48,48,29,35,33,25
Greenwood County,Salt Springs township,400,388,395,463,410,384
Greenwood County,Shell Rock township,290,238,208,173,160,131
Greenwood County,South Salem township,166,137,129,127,95,96
Greenwood County,Spring Creek township,151,122,137,154,109,110
Greenwood County,Twin Grove township,673,770,657,601,488,408
Hamilton County,Bear Creek township,119,81,60,69,117,66
Hamilton County,Coolidge township,215,182,144,128,149,101
Hamilton County,Kendall township,138,103,86,101,85,70
Hamilton County,Lamont township,144,108,91,89,85,84
Hamilton County,Liberty township,65,32,30,38,34,43
Hamilton County,Medway township,60,39,38,53,60,40
