,,,,County,,,CTY_SUB,CTY_SUBA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,D15AA1970,D15AA1980,D15AA1990,D15AA2000,D15AA2010,D15AA2020,D15AB1970,D15AB1980,D15AB1990,D15AB2000,D15AB2010,D15AB2020
,Kansas,20,200,Barton County,9,90,Great Bend city,28300,Great Bend City,GREAT BEND CITY,Great Bend city,Great Bend city,Great Bend city,Great Bend city,16133,16608,15427,15345,15995,14733,16133,16608,15427,15343,15935,14682,0,0,0,2,60,51
,Kansas,20,200,Barton County,9,90,Great Bend township,28325,Great Bend Township,GREAT BEND TOWNSHIP,Great Bend township,Great Bend township,Great Bend township,Great Bend township,1523,1918,1976,1839,1752,1365,0,0,0,334,242,84,1523,1918,1976,1505,1510,1281
,Kansas,20,200,Barton County,9,90,Hoisington city,32550,Hoisington City,HOISINGTON CITY,Hoisington city,Hoisington city,Hoisington city,Hoisington city,3710,3678,3182,2975,2706,2699,3710,3678,3182,2966,2706,0,0,0,0,9,0,2699
,Kansas,20,200,Barton County,9,90,Independent township,33975,Independent Township,INDEPENDENT TOWNSHIP,Independent township,Independent township,Independent township,Independent township,1049,914,890,844,758,655,0,0,0,0,0,0,1049,914,890,844,758,655
,Kansas,20,200,Barton County,9,90,Lakin township,38125,Lakin Township,LAKIN TOWNSHIP,Lakin township,Lakin township,Lakin township,Lakin township,426,346,313,299,262,251,0,0,0,0,0,0,426,346,313,299,262,251
,Kansas,20,200,Barton County,9,90,Liberty township,39875,Liberty Township,LIBERTY TOWNSHIP,Liberty township,Liberty township,Liberty township,Liberty township,291,316,382,321,262,248,0,0,0,0,0,0,291,316,382,321,262,248
,Kansas,20,200,Barton County,9,90,Logan township,41750,Logan Township,LOGAN TOWNSHIP,Logan township,Logan township,Logan township,Logan township,203,195,155,176,138,165,0,0,0,0,0,0,203,195,155,176,138,165
,Kansas,20,200,Barton County,9,90,North Homestead township,51200,North Homestead Township,NORTH HOMESTEAD TOWNSHIP,North Homestead township,North Homestead township,North Homestead township,North Homestead township,163,133,124,133,111,105,0,0,0,0,0,0,163,133,124,133,111,105
,Kansas,20,200,Barton County,9,90,Pawnee Rock township,54900,Pawnee Rock Township,PAWNEE ROCK TOWNSHIP,Pawnee Rock township,Pawnee Rock township,Pawnee Rock township,Pawnee Rock township,582,536,515,544,373,313,0,0,0,0,0,0,582,536,515,544,373,313
,Kansas,20,200,Barton County,9,90,South Bend township,66525,South Bend Township,SOUTH BEND TOWNSHIP,South Bend township,South Bend township,South Bend township,South Bend township,533,750,805,682,674,566,0,0,0,0,0,0,533,750,805,682,674,566
,Kansas,20,200,Barton County,9,90,South Homestead township,66725,South Homestead Township,SOUTH HOMESTEAD TOWNSHIP,South Homestead township,South Homestead township,South Homestead township,South Homestead township,312,480,390,343,322,338,0,0,0,25,3,0,312,480,390,318,319,338
,Kansas,20,200,Barton County,9,90,Union township,72025,Union Township,UNION TOWNSHIP,Union township,Union township,Union township,Union township,217,161,137,128,101,77,0,0,0,0,0,0,217,161,137,128,101,77
,Kansas,20,200,Barton County,9,90,Walnut township,74825,Walnut Township,WALNUT TOWNSHIP,Walnut township,Walnut township,Walnut township,Walnut township,599,556,544,474,403,327,0,0,0,0,0,0,599,556,544,474,403,327
,Kansas,20,200,Barton County,9,90,Wheatland township,77600,Wheatland Township,WHEATLAND TOWNSHIP,Wheatland township,Wheatland township,Wheatland township,Wheatland township,114,86,84,74,53,55,0,0,0,0,0,0,114,86,84,74,53,55
,Kansas,20,200,Bourbon County,11,110,Drywood township,18750,Drywood Township,DRYWOOD TOWNSHIP,Drywood township,Drywood township,Drywood township,Drywood township,388,406,399,394,409,366,0,0,0,0,0,0,388,406,399,394,409,366
,Kansas,20,200,Bourbon County,11,110,Fort Scott city,24000,Fort Scott City,FORT SCOTT CITY,Fort Scott city,Fort Scott city,Fort Scott city,Fort Scott city,8967,8893,8362,8297,8087,7552,8967,8893,8362,7798,7895,7414,0,0,0,499,192,138
,Kansas,20,200,Bourbon County,11,110,Franklin township,24300,Franklin Township,FRANKLIN TOWNSHIP,Franklin township,Franklin township,Franklin township,Franklin township,321,324,227,312,354,304,0,0,0,0,0,0,321,324,227,312,354,304
,Kansas,20,200,Bourbon County,11,110,Freedom township,24600,Freedom Township,FREEDOM TOWNSHIP,Freedom township,Freedom township,Freedom township,Freedom township,469,490,404,505,590,585,0,0,0,0,0,0,469,490,404,505,590,585
,Kansas,20,200,Bourbon County,11,110,Marion township,44650,Marion Township,MARION TOWNSHIP,Marion township,Marion township,Marion township,Marion township,1179,1301,1147,1165,1109,1110,0,0,0,0,0,0,1179,1301,1147,1165,1109,1110
,Kansas,20,200,Bourbon County,11,110,Marmaton township,44900,Marmaton Township,MARMATON TOWNSHIP,Marmaton township,Marmaton township,Marmaton township,Marmaton township,620,751,744,815,769,724,0,0,0,0,0,0,620,751,744,815,769,724
,Kansas,20,200,Bourbon County,11,110,Mill Creek township,46675,Mill Creek Township,MILL CREEK TOWNSHIP,Mill Creek township,Mill Creek township,Mill Creek township,Mill Creek township,412,528,480,472,523,488,0,0,0,0,0,0,412,528,480,472,523,488
,Kansas,20,200,Bourbon County,11,110,Osage township,53100,Osage Township,OSAGE TOWNSHIP,Osage township,Osage township,Osage township,Osage township,357,374,371,394,354,348,0,0,0,0,0,0,357,374,371,394,354,348
,Kansas,20,200,Bourbon County,11,110,Pawnee township,54775,Pawnee Township,PAWNEE TOWNSHIP,Pawnee township,Pawnee township,Pawnee township,Pawnee township,347,333,279,308,307,280,0,0,0,0,0,0,347,333,279,308,307,280
,Kansas,20,200,Bourbon County,11,110,Scott township,63500,Scott Township,SCOTT TOWNSHIP,Scott township,Scott township,Scott township,Scott township,1615,2090,2158,2326,2327,2219,0,0,0,15,0,25,1615,2090,2158,2311,2327,2194
,Kansas,20,200,Bourbon County,11,110,Timberhill township,70600,Timberhill Township,TIMBERHILL TOWNSHIP,Timberhill township,Timberhill township,Timberhill township,Timberhill township,302,302,242,256,217,263,0,0,0,0,0,0,302,302,242,256,217,263
,Kansas,20,200,Bourbon County,11,110,Walnut township,74850,Walnut Township,WALNUT TOWNSHIP,Walnut township,Walnut township,Walnut township,Walnut township,238,177,153,135,127,121,0,0,0,0,0,0,238,177,153,135,127,121
